x,y
0.805000,3.165000
0.855000,3.215000
0.905000,3.265000
0.905000,3.315000
0.905000,3.365000
0.905000,3.415000
0.905000,3.465000
0.905000,3.515000
0.905000,3.565000
0.905000,3.615000
0.905000,3.665000
0.905000,3.715000
0.855000,3.765000
0.805000,3.815000
0.755000,3.865000
0.705000,3.915000
0.655000,3.965000
0.605000,4.015000
0.555000,4.065000
0.505000,4.115000
0.455000,4.165000
0.405000,4.215000
0.355000,4.265000
0.305000,4.315000
0.255000,4.365000
0.205000,4.415000
0.155000,4.465000
0.105000,4.515000
0.055000,4.565000
0.005000,4.615000
-0.045000,4.665000
-0.095000,4.715000
-0.145000,4.765000
-0.195000,4.815000
-0.245000,4.815000
-0.295000,4.865000
-0.345000,4.865000
-0.395000,4.865000
-0.445000,4.915000
-0.495000,4.915000
-0.545000,4.915000
-0.595000,4.915000
-0.645000,4.915000
-0.695000,4.915000
-0.745000,4.915000
-0.795000,4.915000
-0.845000,4.915000
-0.895000,4.915000
-0.945000,4.915000
-0.995000,4.915000
-1.045000,4.915000
-1.095000,4.915000
-1.145000,4.915000
-1.195000,4.915000
-1.245000,4.915000
-1.295000,4.915000
-1.345000,4.915000
-1.395000,4.915000
-1.445000,4.915000
-1.495000,4.915000
-1.545000,4.915000
-1.595000,4.915000
-1.645000,4.915000
-1.695000,4.915000
-1.745000,4.915000
-1.795000,4.915000
-1.845000,4.965000
-1.895000,5.015000
-1.945000,5.065000
-1.995000,5.115000
-2.045000,5.165000
-2.045000,5.115000
-2.045000,5.065000
-2.045000,5.015000
-2.095000,4.965000
-2.145000,4.915000
-2.195000,4.865000
-2.195000,4.815000
-2.195000,4.765000
-2.195000,4.715000
-2.195000,4.665000
-2.195000,4.615000
-2.195000,4.565000
-2.245000,4.515000
-2.295000,4.465000
-2.345000,4.415000
-2.395000,4.365000
-2.445000,4.315000
-2.495000,4.265000
-2.545000,4.215000
-2.545000,4.165000
-2.595000,4.115000
-2.595000,4.065000
-2.645000,4.015000
-2.645000,3.965000
-2.645000,3.915000
-2.695000,3.865000
-2.695000,3.815000
-2.695000,3.765000
-2.695000,3.715000
-2.695000,3.665000
-2.695000,3.615000
-2.695000,3.565000
-2.695000,3.515000
-2.695000,3.465000
-2.695000,3.415000
-2.695000,3.365000
-2.695000,3.315000
-2.695000,3.265000
-2.695000,3.215000
-2.695000,3.165000
-2.695000,3.115000
-2.695000,3.065000
-2.695000,3.015000
-2.695000,2.965000
-2.695000,2.915000
-2.695000,2.865000
-2.695000,2.815000
-2.695000,2.765000
-2.695000,2.715000
-2.695000,2.665000
-2.695000,2.615000
-2.695000,2.565000
-2.645000,2.515000
-2.645000,2.465000
-2.645000,2.415000
-2.595000,2.365000
-2.595000,2.315000
-2.595000,2.265000
-2.595000,2.215000
-2.595000,2.165000
-2.545000,2.115000
-2.545000,2.065000
-2.545000,2.015000
-2.545000,1.965000
-2.495000,1.915000
-2.495000,1.865000
-2.495000,1.815000
-2.495000,1.765000
-2.445000,1.715000
-2.445000,1.665000
-2.395000,1.615000
-2.395000,1.565000
-2.345000,1.515000
-2.345000,1.465000
-2.345000,1.415000
-2.345000,1.365000
-2.295000,1.315000
-2.295000,1.265000
-2.295000,1.215000
-2.245000,1.165000
-2.245000,1.115000
-2.195000,1.065000
-2.195000,1.015000
-2.145000,0.965000
-2.145000,0.915000
-2.095000,0.865000
-2.095000,0.815000
-2.095000,0.765000
-2.045000,0.715000
-2.045000,0.665000
-2.045000,0.615000
-1.995000,0.565000
-1.995000,0.515000
-1.945000,0.465000
-1.945000,0.415000
-1.945000,0.365000
-1.895000,0.315000
-1.895000,0.265000
-1.845000,0.215000
-1.845000,0.165000
-1.845000,0.115000
-1.795000,0.065000
-1.795000,0.015000
-1.745000,-0.035000
-1.745000,-0.085000
-1.695000,-0.135000
-1.695000,-0.185000
-1.695000,-0.235000
-1.645000,-0.285000
-1.645000,-0.335000
-1.645000,-0.385000
-1.595000,-0.435000
-1.545000,-0.485000
-1.545000,-0.535000
-1.545000,-0.585000
-1.545000,-0.635000
-1.495000,-0.685000
-1.495000,-0.735000
-1.445000,-0.785000
-1.445000,-0.835000
-1.445000,-0.885000
-1.395000,-0.935000
-1.395000,-0.985000
-1.395000,-1.035000
-1.395000,-1.085000
-1.395000,-1.135000
-1.395000,-1.185000
-1.395000,-1.235000
-1.395000,-1.285000
-1.395000,-1.335000
-1.345000,-1.385000
-1.345000,-1.435000
-1.295000,-1.485000
-1.295000,-1.535000
-1.295000,-1.585000
-1.295000,-1.635000
-1.295000,-1.685000
-1.295000,-1.735000
-1.295000,-1.785000
-1.295000,-1.835000
-1.295000,-1.885000
-1.295000,-1.935000
-1.295000,-1.985000
-1.295000,-2.035000
-1.345000,-2.085000
-1.345000,-2.135000
-1.345000,-2.185000
-1.395000,-2.235000
-1.395000,-2.285000
-1.395000,-2.335000
-1.445000,-2.385000
-1.445000,-2.435000
-1.445000,-2.485000
-1.495000,-2.535000
-1.495000,-2.585000
-1.495000,-2.635000
-1.545000,-2.685000
-1.545000,-2.735000
-1.545000,-2.785000
-1.595000,-2.835000
-1.595000,-2.885000
-1.595000,-2.935000
-1.595000,-2.985000
-1.595000,-3.035000
-1.595000,-3.085000
-1.595000,-3.135000
-1.595000,-3.185000
-1.595000,-3.235000
-1.595000,-3.285000
-1.645000,-3.335000
-1.645000,-3.385000
-1.645000,-3.435000
-1.695000,-3.485000
-1.695000,-3.535000
-1.695000,-3.585000
-1.745000,-3.635000
-1.795000,-3.685000
-1.845000,-3.735000
-1.895000,-3.785000
-1.945000,-3.835000
-1.995000,-3.885000
-1.995000,-3.935000
-1.995000,-3.985000
-1.995000,-4.035000
-2.045000,-4.085000
-2.095000,-4.135000
-2.145000,-4.185000
-2.145000,-4.235000
-2.145000,-4.285000
-2.195000,-4.335000
-2.245000,-4.385000
-2.295000,-4.435000
-2.345000,-4.485000
-2.345000,-4.535000
-2.395000,-4.585000
-2.445000,-4.635000
-2.495000,-4.685000
-2.545000,-4.735000
-2.595000,-4.785000
-2.595000,-4.835000
-2.645000,-4.885000
-2.695000,-4.935000
-2.695000,-4.985000
-2.745000,-5.035000
-2.795000,-5.085000
-2.795000,-5.135000
-2.845000,-5.185000
-2.895000,-5.235000
-2.895000,-5.285000
-2.895000,-5.335000
-2.895000,-5.385000
-2.895000,-5.435000
-2.895000,-5.485000
-2.895000,-5.535000
-2.895000,-5.585000
-2.895000,-5.635000
-2.895000,-5.685000
-2.895000,-5.735000
-2.895000,-5.785000
-2.895000,-5.835000
-2.895000,-5.885000
-2.895000,-5.935000
-2.895000,-5.985000
-2.895000,-6.035000
-2.895000,-6.085000
-2.895000,-6.135000
-2.895000,-6.185000
-2.895000,-6.235000
-2.895000,-6.285000
-2.845000,-6.335000
-2.795000,-6.385000
-2.745000,-6.435000
-2.695000,-6.485000
-2.645000,-6.535000
-2.595000,-6.585000
-2.545000,-6.635000
-2.495000,-6.685000
-2.445000,-6.735000
-2.395000,-6.785000
-2.345000,-6.835000
-2.295000,-6.885000
-2.245000,-6.935000
-2.195000,-6.985000
-2.145000,-7.035000
-2.095000,-7.085000
-2.045000,-7.085000
-1.995000,-7.085000
-1.945000,-7.085000
-1.895000,-7.085000
-1.845000,-7.085000
-1.795000,-7.085000
-1.745000,-7.085000
-1.695000,-7.085000
-1.645000,-7.085000
-1.595000,-7.085000
-1.545000,-7.085000
-1.495000,-7.085000
-1.445000,-7.085000
-1.395000,-7.085000
-1.345000,-7.085000
