x,y,yaw,curvature
0.805000,3.165000,1.703569,0.300246
0.803056,3.179804,1.699196,0.285490
0.801174,3.194621,1.695041,0.270791
0.799352,3.209452,1.691105,0.256148
0.797586,3.224294,1.687385,0.241560
0.795873,3.239147,1.683882,0.227025
0.794210,3.254010,1.680595,0.212540
0.792594,3.268882,1.677524,0.198102
0.791022,3.283761,1.674668,0.183709
0.789490,3.298647,1.672026,0.169357
0.787996,3.313540,1.669598,0.155042
0.786536,3.328437,1.667385,0.140759
0.785108,3.343338,1.665384,0.126504
0.783708,3.358241,1.663597,0.112272
0.782332,3.373147,1.662023,0.098058
0.780979,3.388054,1.660662,0.083856
0.779645,3.402960,1.659513,0.069661
0.778326,3.417865,1.658577,0.055468
0.777021,3.432769,1.657853,0.041269
0.775724,3.447669,1.657342,0.027061
0.774434,3.462565,1.657044,0.012836
0.773148,3.477456,1.656958,0.001413
0.771861,3.492342,1.657086,0.015690
0.770572,3.507220,1.657427,0.030002
0.769277,3.522090,1.657982,0.044356
0.767972,3.536951,1.658751,0.058758
0.766655,3.551802,1.659735,0.073214
0.765323,3.566642,1.660934,0.087730
0.763973,3.581470,1.662348,0.102312
0.762601,3.596286,1.663980,0.116966
0.761204,3.611087,1.665828,0.131698
0.759779,3.625873,1.667894,0.146514
0.758324,3.640643,1.670179,0.161418
0.756835,3.655397,1.672684,0.176417
0.755308,3.670132,1.675409,0.191514
0.753741,3.684849,1.678356,0.206716
0.752131,3.699546,1.681525,0.222025
0.750474,3.714222,1.684918,0.237446
0.748768,3.728876,1.688535,0.252982
0.747009,3.743507,1.692378,0.268636
0.745195,3.758114,1.696449,0.284412
0.743321,3.772696,1.700747,0.300309
0.741385,3.787253,1.705274,0.316331
0.739385,3.801782,1.710032,0.332477
0.737316,3.816284,1.715021,0.348748
0.735175,3.830757,1.720243,0.365142
0.732961,3.845201,1.725699,0.381659
0.730668,3.859613,1.731390,0.398294
0.728295,3.873994,1.737318,0.415046
